2024-03-18 10:15:23,192.168.1.101,200,/home
2024-03-18 10:15:25,192.168.1.102,404,/profile/user123
2024-03-18 10:15:30,192.168.1.101,200,/about
2024-03-18 10:15:45,192.168.1.103,200,/products
2024-03-18 10:16:01,192.168.1.104,500,/api/data
2024-03-18 10:16:15,192.168.1.102,200,/home
2024-03-18 10:16:30,192.168.1.105,404,/blog/post123
2024-03-18 10:16:45,192.168.1.101,200,/products
2024-03-18 10:17:00,192.168.1.106,200,/home
2024-03-18 10:17:15,192.168.1.107,403,/admin
2024-03-18 10:17:30,192.168.1.102,200,/about
2024-03-18 10:17:45,192.168.1.108,200,/contact
2024-03-18 10:18:00,192.168.1.109,500,/api/users
2024-03-18 10:18:15,192.168.1.101,200,/home
2024-03-18 10:18:30,192.168.1.110,200,/products
2024-03-18 10:18:45,192.168.1.102,404,/images/logo.png
2024-03-18 10:19:00,192.168.1.111,200,/home
2024-03-18 10:19:15,192.168.1.112,200,/about
2024-03-18 10:19:30,192.168.1.101,503,/api/orders
2024-03-18 10:19:45,192.168.1.113,200,/products
2024-03-18 10:20:00,192.168.1.102,200,/contact
